id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
46608693,2021-03-09 20:14:58.183080+00:00,,True,345.16113,1.0,0.22749142,0.009208934,0.0007981339,0.009940784,0.70254385,0.050016902,True,80293898672668439,720575940620274870,80293898672669650,720575940623222712,[562164 214784 150600],[562052 214696 150560]
45973588,2021-03-09 20:14:58.183080+00:00,,True,50.947594,0.0,0.03292504,0.1693422,0.013277578,0.07855115,0.6201088,0.08579521,True,78745511422826223,720575940615310604,78745511422832215,720575940653053601,[474548 195992 149600],[474456 196176 149600]
46842479,2021-03-09 20:14:58.183080+00:00,,True,48.38517,0.0,0.1475797,0.2549113,0.08243899,0.22857927,0.1915941,0.09489665,True,80223529928476553,720575940628236554,80223529928482943,720575940625963432,[560524 213760 149800],[560444 213632 149760]
46842470,2021-03-09 20:14:58.183080+00:00,,True,8.605171,0.0,0.05831762,0.040619414,0.034188036,0.011182943,0.662234,0.19345793,True,80293898672637320,720575940620208489,80293898672640045,720575940625963432,[561304 213412 149760],[561168 213360 149720]
86820750,2021-03-09 20:14:58.183080+00:00,,True,74.38016,36.0,0.0006610515,0.9901556,9.133128e-08,3.141866e-05,8.314691e-06,0.009143601,True,79097561302410169,720575940627716168,79097561302412694,720575940653053601,[491716 209448 158000],[491688 209344 157960]
47013701,2021-03-09 20:14:58.183080+00:00,,True,275.21378,117.0,0.0032294139,0.9933976,7.372074e-05,0.00015389445,0.0003685773,0.002776828,True,79309629607380528,720575940611870349,79309629607369466,720575940636254810,[504136 267600 150000],[504192 267660 149960]
46331449,2021-03-09 20:14:58.183080+00:00,,True,258.87204,150.0,0.12809032,0.2395877,0.6155581,0.0040905876,0.0006463127,0.012026968,True,80504386429940135,720575940621717509,80504386429948965,720575940625963432,[576912 178576 151080],[576792 178472 151040]
8144814,2021-03-09 20:14:58.183080+00:00,,True,326.87274,140.0,0.0088962205,0.86129344,0.0002476796,2.2757224e-06,0.082106896,0.047453456,True,80574892612905091,720575940636633998,80574892612899664,720575940625963432,[577900 183044 146160],[577824 182952 146160]
47028303,2021-03-09 20:14:58.183080+00:00,,True,75.862274,151.0,0.015859805,0.90920126,0.0363044,0.00013820324,0.0038789436,0.034617443,True,80154054537543043,720575940623992317,80154054537539350,720575940615899622,[552656 267476 150920],[552704 267584 150960]
47028313,2021-03-09 20:14:58.183080+00:00,,True,242.2231,12.0,0.025255667,0.26250374,0.62873334,7.117975e-05,0.047037896,0.036398116,True,80154054537541746,720575940623992317,80154054537539350,720575940615899622,[552728 267408 151040],[552784 267496 151040]
47028286,2021-03-09 20:14:58.183080+00:00,,True,95.80484,0.0,0.74857914,0.16158706,0.021232538,0.0317136,0.024213852,0.012673687,True,80154054537521590,720575940613018786,80154054537529050,720575940615899622,[552956 268676 150520],[552820 268528 150600]
47457804,2021-03-09 20:14:58.183080+00:00,,True,173.79927,22.0,0.029218836,0.807343,0.065260105,0.0063942205,0.013511665,0.07827223,True,80504936185713479,720575940389839344,80504936185721771,720575940625963432,[575264 207920 149880],[575420 207864 149880]
46987735,2021-03-09 20:14:58.183080+00:00,,True,189.5958,24.0,0.0016051444,0.99773055,7.997421e-06,8.026188e-06,0.0005187437,0.00012967245,True,80013317049149063,720575940613403890,80013317049161097,720575940623222712,[547296 266576 150280],[547384 266656 150280]
26825972,2021-03-09 20:14:58.183080+00:00,,True,22.109287,0.0,0.07518801,0.055875674,0.000671217,0.11242828,0.63812846,0.1177083,True,80154191976859308,720575940619149595,80154191976864628,720575940613998860,[554664 273376 162480],[554812 273316 162440]
